NPA,Vacant_Land,Vacant_Land_Area,Commercial_Construction,Commercial_Construction_Permitted_Units,Commercial_Size,Commercial_Size_Total,Commercial_Building_Age,Impervious_Surface,Impervious_Surface_Area,Adopt_a_Stream,Adopt_a_Stream_Length,Pharmacy_Proximity,Pharmacy_Proximate_Units,Housing_Density,Housing_Units,Single_Family_Housing,Single_Family_Units,Housing_Size,Housing_Age,New_Residential,New_Residential_Permit_Units,Residential_Renovation,Residential_Renovation_Permit_Units,Foreclosures,Foreclosed_Units,Housing_Violations,Housing_Violations_Total,Street_Connectivity,Transit_Proximity,Transit_Proximate_Units
333,18.5,114,0,0,19207,57621,27,84,13.6,0,0,16,166,1.7,1060,100,1060,1516,35,3.07,19,2.58,16,0.8,8,1.13,12,1.15,12,122
334,0,0,9.03,36,1399415,4198245,20,183,45.9,33.65,0.71,0,0,0.9,356,0,0,-1,-1,0,0,0,0,-1,-1,0,0,1.23,100,356
335,11.9,102,0.93,8,30227,211590,13,123,14.3,-1,-1,39,441,1.3,1118,90,1003,2882,14,0,0,1.28,11,0.1,1,-1,-1,1.12,0,0
336,33.6,507,0.46,7,17398,208775,19,126,8.3,0,0,42,794,1.3,1908,57,1093,2486,15,0,0,0.4,6,0.2,3,0.37,7,1.22,0,0
337,17.7,126,0,0,10265,30796,25,61,8.6,0,0,0,0,1,724,77,555,2825,17,0.28,2,0.99,7,0.3,2,0.14,1,1.14,0,0
338,3,5,4.58,7,14287,985781,51,73,47.7,-1,-1,86,1151,8.7,1334,0,0,-1,-1,0,0,0.65,1,-1,-1,1.57,21,1.29,100,1334
339,10.3,26,15.37,39,20959,2074971,53,101,39.8,0,0,100,1186,4.7,1186,3,30,1251,78,3.55,9,1.18,3,0,0,0,0,1.38,100,1186
340,5.1,19,33.76,127,85505,6583894,54,127,33.8,100,1.33,100,4182,11.1,4182,2,74,2099,83,170.42,641,2.92,11,0.1,3,0.24,10,1.42,100,4182
341,3.3,12,29.01,107,110974,8988869.3,46,157,42.6,100,1.98,43,808,5.1,1898,3,59,2088,19,0,0,1.9,7,0.2,1,0.58,11,1.54,100,1898
342,1.4,4,72.17,202,253343,15200553,37,138,49.3,100,0.59,100,424,1.5,424,0,1,-1,-1,163.99,459,0.36,1,0,0,0,0,1.51,100,424
343,4.2,11,3.47,9,7300,357702,64,63,24.3,0,0,53,454,3.3,861,70,605,1413,73,2.7,7,11.55,30,0.2,1,0.93,8,1.39,100,861
344,13.9,36,1.14,3,9577,498008,52,54,20.6,-1,-1,23,185,3,794,46,362,1220,58,0,0,4.96,13,0.1,1,1.89,15,1.3,100,794
345,24.5,161,0.61,4,12381,99049,40,54,8.2,0,0,50,190,0.6,379,100,379,1597,41,0,0,0.46,3,0,0,0,0,1.27,52,197
346,7.6,56,2.19,16,63830,2808530,43,195,26.7,0,0,0,0,1.4,1056,66,696,1339,52,0,0,0.82,6,0.3,2,1.99,21,1.23,100,1051
347,15.9,22,1.43,2,21616,453942,57,36,25.7,6.38,0.06,0,0,2.5,345,59,203,1218,63,4.29,6,10.73,15,0.6,1,4.06,14,1.24,100,345
348,17.4,277,0.06,1,4537,127028,53,147,9.2,50,2.8,22,288,0.8,1284,97,1240,1786,38,0.13,2,1.63,26,0.9,12,0.31,4,1.21,60,765
349,2.3,7,0,0,1583,7917,42,61,20.5,100,2.66,75,594,2.7,790,34,267,3682,41,1.01,3,7.73,23,0,0,0.13,1,1.15,93,734
350,0,0,0.96,3,8120,40598,46,75,24.1,100,1.52,5,37,2.4,758,40,306,2506,46,0.32,1,7.06,22,0.6,3,0,0,1.14,67,505
351,9.5,19,0.49,1,-1,-1,-1,36,17.8,0,0,46,203,2.2,441,78,345,2818,23,1.98,4,5.93,12,0,0,0.68,3,1.09,98,433
352,1.9,5,0.79,2,5285,21139,21,76,30,0,0,0,0,4.5,1142,16,177,2746,21,0,0,1.58,4,0,0,0.18,2,1.04,100,1141
353,2.1,14,0.58,4,24964,124822,26,113,16.5,75.18,4.12,13,127,1.5,1003,100,1003,2418,40,0,0,6.71,46,0,0,0.1,1,1.19,91,914
354,1.5,4,8.59,22,40284,604255,25,72,28.1,99.44,1.77,50,509,4,1012,10,103,1672,35,0,0,1.95,5,1.5,4,0,0,1.24,100,1012
355,1.9,12,9.1,58,58397,2686268,14,183,28.7,99.31,4.34,0,0,1.7,1049,20,213,2266,17,0,0,0.78,5,0,0,0.29,3,1.13,39,405
356,6.3,61,2.25,22,57029,627315,19,207,21.2,-1,-1,63,1196,1.9,1893,50,940,4410,17,3.07,30,4.41,43,0.3,5,0,0,1.07,56,1053
357,2.7,9,5.5,19,14873,252840,41,96,27.8,0,0,36,518,4.2,1439,44,629,1719,46,0.58,2,8.68,30,0.2,2,0.21,3,1.14,99,1427
358,0.6,5,22.47,185,129060,7872634,26,306,37.2,100,4.92,61,1010,2,1665,38,634,2656,50,0.49,4,6.68,55,0,0,0,0,1.25,100,1665
359,3,13,1.93,8,1238,1238,23,88,21.2,-1,-1,0,0,2.6,1064,71,754,2347,45,0.48,2,13.72,57,0,0,0.09,1,1.18,100,1064
360,27.2,386,0.21,3,8057,64453,19,104,7.3,65.64,3.82,0,0,1.1,1499,100,1499,1771,20,2.11,30,0.99,14,0.9,13,0.27,4,1.07,31,468
361,20.9,104,3.63,18,19833,1705617,56,117,23.6,72.41,2.94,0,0,1.2,596,77,459,1021,66,18.97,94,2.02,10,0.9,3,4.53,27,1.42,100,596
362,2.8,22,1.6,13,50859,1932657,34,169,20.8,37.41,1.59,0,0,1.6,1303,61,799,1212,53,0.12,1,1.97,16,0.3,2,2.46,32,1.27,100,1303
363,19.3,262,1.54,21,29385,5436212,45,362,26.6,0,0,0,0,0.9,1205,76,912,935,56,0.29,4,1.91,26,0.1,1,5.48,66,1.23,100,1205
364,4,19,0.83,4,6383,255335,59,132,27.3,100,2.58,55,628,2.4,1149,72,826,3569,53,2.28,11,12.82,62,0.1,1,0,0,1.34,100,1149
365,3.7,10,2.23,6,10943,306404,47,70,26,100,0.6,90,747,3.1,826,71,588,1210,60,0,0,33.75,91,0.2,1,0.73,6,1.36,100,826
366,3.6,13,6.61,23,18358,2001009,51,133,38.2,100,2.24,100,441,1.3,441,52,230,1217,63,0,0,1.44,5,0,0,0.91,4,1.27,100,441
367,2.6,19,8.75,64,27880,6273021,59,263,36,100,2.05,89,2766,4.2,3094,29,909,1863,79,16.68,122,7.25,53,0.1,1,0.16,5,1.41,100,3094
368,4.6,51,2.52,28,48607,2867798,21,299,26.9,7.86,0.37,85,1007,1.1,1184,79,932,1548,37,0,0,0.99,11,0.7,8,-1,-1,1.24,100,1184
369,8.6,28,2.74,9,15379,1368726,51,87,26.4,-1,-1,0,0,1.4,465,85,397,974,66,0,0,1.52,5,0.3,1,3.23,15,1.29,100,465
370,9.9,46,2.76,13,22080,1236497,29,141,29.9,100,3.19,87,1059,2.6,1219,43,527,936,52,1.7,8,2.33,11,0.8,3,4.51,55,1.21,100,1219
371,7.7,108,0.86,12,17201,2218897,39,339,24.3,83.75,2.01,12,261,1.6,2254,83,1871,1324,51,0.07,1,1.86,26,0.6,11,2.88,65,1.3,100,2254
372,5.5,108,0.15,3,10155,152321,17,320,16.4,0,0,20,883,2.2,4416,83,3647,2345,17,0,0,1.79,35,0.5,20,0.16,7,1.11,8,342
373,2.3,19,0.82,7,19105,114629,39,178,20.8,0,0,27,306,1.3,1113,86,959,2726,48,0.94,8,6.2,53,0.2,2,0.36,4,1.23,70,778
374,14,58,1.68,7,3611,122758,48,65,15.6,0,0,51,576,2.7,1137,85,968,1073,56,0.48,2,6.48,27,0.9,8,6.86,78,1.27,100,1137
375,1.9,19,0,0,14783,103480,18,150,15.1,100,2.16,37,324,0.9,867,100,866,3951,33,2.02,20,7.07,70,0,0,0,0,1.13,76,659
376,16.6,191,0,0,15568,140110,39,109,9.5,20.26,1.23,24,358,1.3,1517,94,1427,1772,24,0,0,1.22,14,0.8,11,0.4,6,1.06,76,1153
377,9.7,105,0.37,4,13527,40580,16,130,12,30.42,1.39,3,62,1.9,2043,80,1643,2558,14,0.09,1,1.67,18,1,20,0.15,3,1.12,0,0
378,3.6,33,1.64,15,11164,814968,60,176,19.3,100,2.45,73,1582,2.4,2168,88,1911,1727,63,3.5,32,15.65,143,0.1,1,0.23,5,1.34,100,2168
379,2.7,29,0.28,3,28780,143899,19,180,16.8,44.25,2.85,39,520,1.2,1324,98,1302,3755,20,0.47,5,5.96,64,0.1,1,0.15,2,1.07,0,0
380,2.8,53,0.21,4,1645,4934,23,220,11.7,29.99,2,6,117,1,1831,100,1831,3561,25,0.16,3,4.15,78,0.1,2,0.16,3,1.08,7,134
381,1.6,8,6.7,33,10672,384177,54,125,25.4,100,0.94,60,1233,4.2,2071,37,770,1419,66,22.75,112,8.73,43,0,0,0.14,3,1.29,99,2057
382,11.3,49,2.99,13,14229,540683,57,90,20.7,16.6,0.39,0,0,2.1,915,82,752,1095,61,4.14,18,9.9,43,0.3,2,4.04,37,1.38,100,915
383,2.8,17,0.97,6,12679,722675,37,175,28.3,100,1.44,78,1242,2.6,1591,68,1089,1478,52,0,0,4.37,27,0.2,2,1.32,21,1.29,95,1510
384,3.1,11,40.01,139,93690,10399613.1,61,136,39.1,99.14,1.15,70,1273,5.2,1821,5,96,1472,89,103.33,359,2.88,10,0.2,2,0.16,3,1.44,100,1821
385,8.6,68,1.26,10,14941,821752,55,148,18.7,0,0,26,518,2.5,1984,69,1367,1087,61,0.63,5,3.79,30,0.8,12,4.13,82,1.2,100,1984
386,8.2,23,3.24,9,11052,232090,61,48,17.3,-1,-1,31,260,3,841,82,690,1122,66,6.84,19,19.44,54,0,0,2.38,20,1.45,100,841
387,17.6,313,1.57,28,21845,5155455,40,537,30.2,0,0,45,423,0.5,943,86,814,1125,51,0,0,0.62,11,0.4,3,2.33,22,1.33,100,943
388,7,28,8.55,34,17230,1395590,55,93,23.4,2.27,0.02,48,473,2.5,985,68,666,1235,73,8.55,34,13.58,54,0.2,1,3.55,35,1.49,100,985
389,1.1,13,2.18,24,9363,308968,42,232,21.1,2.44,0.01,18,627,3.3,3575,55,1959,1444,50,0,0,4.55,50,0.6,12,0.9,32,1.26,100,3575
390,6.1,16,0.75,2,9747,672514,55,73,27.4,-1,-1,93,731,2.9,783,42,330,1199,54,4.13,11,2.63,7,0,0,0.51,4,1.2,100,783
391,1.3,7,0,0,33410,66820,48,95,16.9,-1,-1,0,0,1.7,971,99,959,2313,42,0,0,8.37,47,0.1,1,0.1,1,1.21,21,206
392,1.4,20,3.27,48,27338,1421583,52,405,27.6,100,7.81,28,1145,2.8,4089,65,2641,3000,60,7.84,115,12.82,188,0.1,2,0.12,5,1.44,100,4079
393,0.6,6,6.81,68,18636,1919529,39,289,29,69.84,4.4,21,574,2.7,2681,69,1842,1575,58,26.75,267,8.52,85,0.2,4,0.48,13,1.35,97,2611
394,7.5,30,1.53,6,18403,239235,40,93,23.7,100,0.14,10,139,3.7,1444,36,514,1713,50,1.02,4,7.64,30,0.5,4,0.69,10,1.17,98,1408
395,9.1,57,1.74,11,22756,978502,16,154,24.4,22.58,0.21,89,591,1,662,67,441,2158,31,0.16,1,0.95,6,0.5,3,-1,-1,1.13,0,2
396,33.8,1520,0.02,1,3594,14375,25,113,2.5,0,0,0,0,0.2,1015,89,906,2024,30,0.62,28,0.47,21,1.1,11,-1,-1,1.09,0,0
397,4.9,7,1.99,3,20885,417698,15,61,40.5,-1,-1,91,1021,7.5,1128,4,39,1903,15,0,0,0.66,1,0,0,-1,-1,1.23,100,1128
398,18,50,1.08,3,20749,103744,28,35,12.6,100,0.73,0,0,1.5,415,33,135,2517,8,1.08,3,0.36,1,0.5,2,-1,-1,1.23,95,393
399,23,150,2.91,19,36992,998789,15,116,17.8,81.12,2.75,50,533,1.6,1057,45,476,2150,16,1.68,11,1.38,9,0.4,2,-1,-1,1.33,99,1051
400,7.1,47,0.3,2,2164,4328,33,88,13.3,0,0,0,0,1.3,881,100,881,2833,26,0.3,2,3.32,22,0,0,-1,-1,0.99,33,289
401,6.1,55,0.55,5,12523,175324,27,109,12.1,-1,-1,28,233,0.9,824,88,723,1964,31,0.11,1,0.55,5,0.4,3,-1,-1,1.11,0,0
402,21.7,213,0.1,1,22043,132256,32,64,6.5,-1,-1,2,12,0.6,571,100,571,2102,31,0.1,1,1.53,15,0.4,2,-1,-1,1.14,0,0
403,26.6,475,0.61,11,15055,210765,16,119,6.7,0,0,15,101,0.4,689,100,689,2910,25,1.51,27,1.12,20,0,0,-1,-1,1.1,10,72
404,13.8,57,1.71,7,9290,306564,56,67,16.4,100,0.17,65,551,2.1,853,64,549,1445,47,0.24,1,1.47,6,0,0,-1,-1,1.17,99,845
405,9.5,54,0.52,3,59907,419350,18,99,17.3,-1,-1,1,10,2.4,1379,75,1036,2002,14,0.17,1,2.44,14,0.1,1,-1,-1,1.35,34,470
406,9.8,135,0.22,3,11307,135688,31,142,10.3,0,0,15,128,0.6,864,98,847,2643,30,1.81,25,2.32,32,0.2,2,-1,-1,1.15,9,82
407,21.2,316,0.6,9,7735,193376,41,96,6.4,8.37,0.17,24,170,0.5,716,99,711,2136,34,0.47,7,0.8,12,0,0,-1,-1,1.11,26,185
408,5.5,62,0.63,7,21906,481927,23,153,13.8,5.06,0.26,40,431,1,1070,86,924,2485,28,0.54,6,1.8,20,0.2,2,-1,-1,1.18,47,503
409,11.8,108,0.98,9,14156,311442,23,168,18.3,-1,-1,30,311,1.1,1045,91,953,4001,20,0.98,9,4.89,45,0.1,1,-1,-1,1.12,26,275
410,7.9,19,8.55,21,19839,198394,17,65,26.5,-1,-1,0,0,3.8,1001,12,120,2776,26,0.81,2,3.66,9,0.1,1,-1,-1,1.11,97,974
411,25.9,135,7.65,40,22236,1111781,15,108,20.7,0,0,0,0,1.2,621,67,413,1852,13,0.77,4,0.57,3,0.6,4,-1,-1,1.27,26,164
412,17.5,354,0.3,6,33490,803769,25,98,4.9,0,0,2,4,0.1,252,99,249,2297,31,0.25,5,0.05,1,0,0,-1,-1,1.11,2,4
413,11.3,134,0.17,2,12188,365652,36,126,10.7,0,0,0,3,1,1214,99,1207,2796,18,0.08,1,1.27,15,0.2,3,-1,-1,1.08,11,129
416,4.5,10,3.3,7,15733,487733,11,57,26.9,30.65,0.76,100,893,4.2,893,7,64,1906,18,0,0,0.47,1,0,0,-1,-1,1.29,100,893
417,9.6,66,0.29,2,27238,81714,15,70,10.2,58.56,3.9,45,325,1.1,719,79,570,2399,18,1.61,11,1.17,8,0.3,2,-1,-1,1.23,61,438
418,18.6,158,2.47,21,20716,704344,16,137,16.1,12.3,0.46,30,349,1.4,1171,73,859,3200,14,0.12,1,2.36,20,0.1,1,-1,-1,1.24,91,1063
419,11.1,63,0.18,1,2088,2088,20,75,13.3,46.69,3.03,0,0,1.7,952,100,952,2814,21,1.07,6,3.2,18,0,0,-1,-1,1.04,18,170
420,2.2,29,0.77,10,16526,313996,15,114,8.8,0.53,0.03,52,582,0.9,1114,79,874,2341,19,0.15,2,1.62,21,0,0,-1,-1,1.1,36,400
421,30.1,218,0,0,4124,28866,25,54,7.5,-1,-1,0,0,0.9,616,81,499,3068,11,4.28,31,0.97,7,0.5,3,-1,-1,1.31,0,0
422,29.2,919,1.59,50,51662,3358009,19,267,8.5,89.04,4.06,1,9,0.3,814,46,373,1909,22,0.19,6,0.22,7,1,6,-1,-1,1.32,64,525
423,38,1107,0.07,2,12198,280563,37,119,4.1,10.34,0.76,2,14,0.3,766,97,744,2622,28,2.1,61,0.41,12,0.4,3,-1,-1,1.17,0,0
424,10.8,117,0.09,1,82453,659625,29,188,17.3,-1,-1,46,356,0.7,777,73,564,2964,28,0.28,3,7.94,86,0.1,1,-1,-1,1.04,46,359
425,29.7,472,0,0,1705,5116,22,56,3.5,0,0,0,0,0.3,431,99,428,2731,23,0.25,4,0.57,9,0.2,1,-1,-1,1.02,0,0
426,4.5,22,1.4,7,38371,844169,23,114,22.8,23.66,0.22,69,559,1.6,809,68,553,2244,25,0,0,2.2,11,0.2,1,-1,-1,1.04,50,401
428,34,475,0.14,2,10716,139304,41,96,6.9,0,0,0,0,0.4,542,99,539,2284,31,0.72,10,0.79,11,0.4,2,-1,-1,1.12,0,0
430,47.7,308,0.46,3,13027,195401,22,94,14.5,67.77,5.32,0,0,2.5,1605,19,311,2474,7,11.61,75,4.33,28,0.8,5,-1,-1,1.26,39,633
431,29.2,211,0,0,889,889,13,53,7.3,0,0,0,1,1,693,100,692,1842,31,1.66,12,1.25,9,1,7,-1,-1,1.04,37,254
432,30.6,404,0.15,2,4787,43079,47,92,7,-1,-1,0,0,0.7,917,96,880,2314,25,0.15,2,0.83,11,0.1,1,-1,-1,1.06,1,10
433,19.9,47,0,0,-1,-1,-1,27,11.3,0,0,0,0,1.4,324,100,324,2668,22,0,0,2.94,7,0,0,-1,-1,1.07,0,0
434,27.5,1032,0.08,3,30565,213952,19,348,9.3,48.09,6.16,13,149,0.3,1116,83,930,3491,14,0.85,32,0.83,31,0.1,1,-1,-1,1.17,0,0
435,22.6,108,0.21,1,11407,22814,10,39,8.1,0,0,5,12,0.5,244,100,244,2633,38,0.42,2,0.83,4,0.8,2,-1,-1,1.12,54,132
436,3,12,0.5,2,13355,66773,26,57,14.2,0,0,45,269,1.5,604,100,604,2140,26,0,0,0.75,3,1,6,-1,-1,1.04,73,443
437,49.8,1755,0.09,3,24248,872910,58,159,4.5,0,0,1,14,0.4,1347,81,1097,2269,24,5.67,200,0.96,34,0.2,3,-1,-1,1.29,43,575
438,41.1,888,1.76,38,6609,178442,58,140,6.5,0,0,58,534,0.4,919,67,616,2554,16,5.51,119,1.02,22,0.1,1,-1,-1,1.31,59,546
442,19,88,0.43,2,13710,109682,29,66,14.3,0,0,45,328,1.6,732,97,708,1535,30,5.41,25,0.86,4,0.8,6,-1,-1,1.03,89,650
443,11.5,32,1.81,5,-1,-1,-1,45,16.3,-1,-1,0,0,2,558,100,558,2566,19,0.72,2,2.9,8,0.2,1,-1,-1,0.97,0,0
444,15.6,59,0,0,621,621,4,55,14.6,0,0,0,0,2.1,808,95,767,1733,25,1.06,4,2.65,10,0.6,5,-1,-1,1,0,0
445,9.1,61,0.45,3,1464,1464,28,71,10.6,91.38,5.51,2,25,1.5,1020,100,1020,2214,24,0,0,2.08,14,0.2,2,-1,-1,1.06,55,561
446,34.4,240,0,0,1536,1536,24,33,4.7,94.87,3.33,0,0,0.8,525,94,494,1933,17,0.72,5,0.86,6,0,0,-1,-1,1.12,31,162
447,16.9,205,0,0,1482,10372,31,64,5.3,78.62,4.67,0,0,0.8,965,91,881,2272,14,6.25,76,3.21,39,0.1,1,-1,-1,1.37,0,0
448,27.3,227,2.16,18,16839,1566011,21,206,24.7,100,1.04,46,728,1.9,1599,28,442,2449,15,1.44,12,1.2,10,0,0,-1,-1,1.32,99,1582
449,5,51,0.78,8,19241,288613,24,178,17.5,100,1.38,19,175,0.8,929,81,750,4288,21,0.59,6,4.9,50,0.2,2,-1,-1,1.08,23,213
450,14.6,1128,0.01,1,6962,41769,16,176,2.3,10.28,3.1,0,0,0.2,1355,99,1338,2846,19,0.19,15,0.27,21,0,0,-1,-1,1.22,0,0
451,32.9,994,0.13,4,20950,146653,33,178,5.9,14.44,1.37,0,2,0.4,1355,95,1285,3489,16,1.32,40,1.69,51,0.1,2,-1,-1,1.21,0,0
452,16.4,195,0.84,10,16932,694212,35,159,13.4,-1,-1,23,139,0.5,604,100,602,1976,30,0,0,1.01,12,0,0,-1,-1,1.23,85,511
453,18.2,131,0.28,2,14480,376468,54,89,12.3,74.3,6.33,11,98,1.3,916,44,400,1279,62,0,0,1.52,11,0.3,2,-1,-1,1.18,10,95
454,23,516,0.09,2,4937,172800,47,101,4.5,0,0,10,56,0.2,541,100,540,2512,31,0,0,0.44,10,0.4,2,-1,-1,1.03,5,29
455,17.4,273,0,0,5395,16185,27,90,5.7,0,0,19,146,0.5,755,86,651,2340,29,0.13,2,0.45,7,0.1,1,-1,-1,1.07,0,0
456,15.3,41,23.18,63,6580,157925,57,57,21,-1,-1,29,156,2,547,17,94,1772,60,53.71,146,1.1,3,0,0,-1,-1,1.25,100,545
457,5.5,15,0,0,-1,-1,-1,48,17.2,0,0,0,0,1.3,365,100,365,2574,30,0,0,4.29,12,0.3,1,-1,-1,1,51,186
458,11.3,31,0.36,1,9102,100119,34,46,16.6,100,0.17,16,62,1.4,394,100,394,2279,23,0,0,1.81,5,0.3,1,-1,-1,1.2,45,178
459,14.6,146,0,0,1238,3714,38,83,8.3,0,0,13,124,1,974,92,892,2056,25,0,0,1.4,14,0.6,6,-1,-1,1.04,13,125
460,16.5,177,1.95,21,20713,1263500,46,174,16.2,83.86,4.47,33,358,1,1083,93,1012,1873,30,0.19,2,1.58,17,0.2,2,-1,-1,1.16,38,411
462,29.9,1034,0.17,6,3549,49681,44,92,2.7,0,0,0,4,0.2,805,98,788,2310,26,1.59,55,0.41,14,0,0,-1,-1,1.24,25,198
463,6.2,33,0.94,5,8351,342408,25,98,18.5,0,0,57,578,1.9,1009,40,406,1801,33,0,0,0.94,5,0,0,-1,-1,1.08,100,1009
464,12.5,106,0.35,3,8412,185071,22,137,16.1,0,0,16,199,1.5,1274,92,1175,2597,18,0.12,1,1.88,16,0.2,2,-1,-1,1.33,89,1131
465,22.7,70,0.33,1,11713,35140,12,30,9.8,75.28,2.68,0,0,1.6,495,52,255,2133,24,0,0,2.93,9,0.4,1,-1,-1,1.11,0,2
466,29.6,848,0.1,3,8383,75444,39,108,3.8,16.77,0.79,7,69,0.3,960,88,849,2163,24,0.17,5,0.35,10,0.3,3,-1,-1,1.29,9,85
467,17.2,90,3.25,17,33163,1094367,13,134,25.6,0,0,60,429,1.4,713,94,671,2382,18,0,0,2.1,11,0,0,-1,-1,1.16,71,506
468,15.3,142,0.75,7,32157,128629,28,64,6.9,0,0,31,27,0.1,86,88,76,2510,61,0.11,1,0.22,2,0,0,-1,-1,0.98,56,48
469,30.8,854,0.04,1,2965,8896,24,77,2.8,20.59,1.8,0,0,0.2,692,80,551,2800,23,0.11,3,0.58,16,0.3,2,-1,-1,1.25,0,0
470,4.9,23,1.93,9,16119,241779,21,97,20.7,100,0.37,7,69,2.1,1029,47,484,3160,24,2.78,13,6.2,29,0,0,-1,-1,1.07,51,529
471,17.5,98,2.13,12,10026,541383,48,102,18.1,100,8.04,47,603,2.3,1270,48,613,1761,38,29.69,167,1.07,6,0.1,1,-1,-1,1.28,98,1248
472,16.1,60,2.67,10,-1,-1,-1,60,16,-1,-1,10,56,1.3,542,88,474,2980,25,2.14,8,6.14,23,0.4,2,-1,-1,1.13,9,50
473,21.6,107,6.65,33,14958,942360,56,104,21,93.94,7.59,54,564,2.1,1038,48,494,1647,40,5.24,26,4.44,22,0.4,3,-1,-1,1.19,100,1038
474,7.8,37,4.16,20,17068,324288,22,110,22.9,-1,-1,48,552,2.3,1149,53,611,2457,26,0.21,1,7.07,34,0.1,1,-1,-1,1.16,67,766
475,11.6,109,0.32,3,6919,103783,46,103,10.9,0,0,33,280,0.9,848,74,628,2964,42,0.95,9,1.37,13,0,0,-1,-1,1.19,35,294
